Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.10, Epoch 15
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.10, Epoch 16
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.10, Epoch 17
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.10, Epoch 18
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.10, Epoch 19
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.10, Epoch 20
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 1
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 2
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 3
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 4
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 5
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 6
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 7
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 8
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 9
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 10
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 11
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 12
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 13
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 14
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 15
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 16
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 17
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 18
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 19
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.10, Epoch 20
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 1
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 2
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 3
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 4
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 5
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 6
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 7
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 8
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 9
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 10
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 11
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 12
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 13
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 14
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 15
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 16
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 17
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 18
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 19
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.10, Epoch 20
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 1
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 2
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 3
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 4
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 5
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 6
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 7
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 8
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 9
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 10
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 11
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 12
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 13
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 14
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 15
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 16
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 17
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 18
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 19
Worker 70432: Running combination: noise_level=0.30, alpha=0.10, beta=0.25, Epoch 20
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 1
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 2
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 3
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 4
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 5
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 6
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 7
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 8
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 9
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 10
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 11
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 12
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 13
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 14
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 15
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 16
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 17
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 18
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 19
Worker 70432: Running combination: noise_level=0.30, alpha=0.20, beta=0.25, Epoch 20
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 1
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 2
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 3
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 4
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 5
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 6
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 7
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 8
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 9
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 10
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 11
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 12
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 13
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 14
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 15
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 16
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 17
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 18
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 19
Worker 70432: Running combination: noise_level=0.30, alpha=0.40, beta=0.25, Epoch 20
